Niveau;code PCS2020;Libellé long de la nomenclature;libellé court – nomenclature d’usage
3;45B0;Personnels intermédiaires de la Police, des Armées et de la Gendarmerie;
4;45B1;Personnels de commandement de la Police nationale et de l’administration pénitentiaire;
4;45B2;Sous-officiers supérieurs des Armées et de la Gendarmerie;
2;4600;Professions intermédiaires administratives et commerciales des entreprises;Intermédiaires des entreprises
3;46A0;Professions intermédiaires des services administratifs d’entreprise;
4;46A1;Assistants, secrétaires de direction (non cadres);
4;46A2;Maîtrise et techniciens des services comptables et du traitement des données;
4;46A3;Maîtrise et techniciens des services juridiques et du personnel;
4;46A4;Maîtrise et techniciens des autres services administratifs;
3;46B0;Responsables (non cadres) des magasins de vente et des services commerciaux;
4;46B1;Responsables (non cadres) de magasins;
4;46B2;Responsables (non cadres) d'un secteur ou d'un rayon dans un commerce de détail;
4;46B3;Acheteurs (non cadres) et responsables des achats;
4;46B4;Responsables (non cadres) du marketing et de l’animation commerciale des magasins;
4;46B5;Autres professions intermédiaires des services commerciaux;
3;46C0;Représentants et technico-commerciaux;
4;46C1;Représentants, technico-commerciaux de la vente de biens auprès de professionnels;
4;46C2;Représentants, technico-commerciaux de la vente de services auprès des professionnels;
4;46C3;Représentants, technico-commerciaux auprès des particuliers;
3;46D0;Chargés de clientèle et techniciens de la banque, des assurances et des organismes de sécurité sociale;
4;46D1;Chargés de clientèle de la banque et des assurances;
4;46D2;Techniciens de la banque, des assurances et des organismes de sécurité sociale;
3;46E0;Assistants et techniciens de la création artistique et de la communication;
4;46E1;Assistants de la communication, de la publicité et des relations publiques;
4;46E2;Graphistes et autres professions intermédiaires des arts graphiques, de la mode et de la décoration;
4;46E3;Photographes et assistants techniques de la réalisation des spectacles vivants et audiovisuels;
3;46F0;Responsables (non cadres) des transports et du tourisme;
4;46F1;Responsables (non cadres) des services administratifs et commerciaux des transports et du tourisme;
4;46F2;Responsables (non cadres) d'exploitation des transports;
3;46G0;Responsables (non cadres) de la gestion et des services de l'hôtellerie-restauration;
4;46G1;Responsables (non cadres) de la gestion et des services de l'hôtellerie-restauration;
2;4700;Techniciens;Techniciens
3;47A0;Techniciens de l’agriculture, de l’aquaculture, des forêts et de la protection de l’environnement;
4;47A1;Techniciens de l’agriculture, de l’aquaculture, des forêts et de la protection de l’environnement;
3;47B0;Techniciens du BTP;
4;47B1;Techniciens d’études du BTP;
4;47B2;Techniciens de chantier du BTP;
3;47C0;Techniciens de l’industrie;
4;47C1;Dessinateurs industriels;
4;47C2;Techniciens de recherche et développement de l’industrie;
4;47C3;Techniciens de fabrication industrielle;
3;47D0;Techniciens des fonctions connexes de la production;
4;47D1;Techniciens de la logistique, de l'ordonnancement-planification et des méthodes de production;
4;47D2;Techniciens du contrôle-qualité et de la prévention des risques;
4;47D3;Techniciens d’installation et de maintenance (hors informatique);
3;47E0;Techniciens de l’informatique;
4;47E1;Techniciens d’études, de recherche et développement informatique et de production des données;
4;47E2;Techniciens d'exploitation informatique (réseaux, systèmes, sécurité et support);
3;47F0;Techniciens des laboratoires de recherche publique et de l’enseignement;
4;47F1;Techniciens des laboratoires de recherche publique et de l’enseignement;
2;4800;Agents de maîtrise (hors maîtrise administrative);Agents de maîtrise de production
3;48A0;Agents de maîtrise de l’agriculture, des travaux forestiers et de la pêche;
4;48A1;Agents de maîtrise de l’agriculture, des travaux forestiers et de la pêche;
3;48B0;Agents de maîtrise du BTP;
4;48B1;Conducteurs de travaux (non cadres), chefs de chantier;
3;48C0;Agents de maîtrise de l’industrie;
4;48C1;Agents de maîtrise en fabrication industrielle;
4;48C2;Agents de maîtrise et techniciens en production et distribution d'énergie et d'eau;
3;48D0;Agents de maîtrise en installation et maintenance (hors informatique);
4;48D1;Agents de maîtrise en installation et maintenance (hors informatique);
3;48E0;Responsables (non cadres) d’entrepôt, de magasinage et de manutention;
4;48E1;Responsables (non cadres) d’entrepôt, de magasinage et de manutention;
3;48F0;Chefs de cuisine et responsables de production en restauration;
4;48F1;Chefs de cuisine et responsables de production en restauration;
1;5000;Employés;Employés
2;5200;Employés administratifs de la fonction publique, agents de service et auxiliaires de santé;Employés de la fonction publique
3;52A0;Employés administratifs de la fonction publique;
4;52A1;Agents d'accueil et de guichet des administrations publiques;
4;52A2;Employés de la fonction publique (secrétariat, gestion, comptabilité);
4;52A3;Employés administratifs de la fonction publique à technicité spécifique;
4;52A4;Facteurs et employés du service universel du courrier;
3;52B0;Agents de service de la fonction publique et de la santé;
4;52B1;Agents de service de nettoyage (État, collectivités territoriales);
4;52B2;Agents de service de surveillance et de restauration (État, collectivités territoriales);
4;52B3;Agents de service des établissements de santé;
3;52C0;Aides-soignants, employés d’accueil de la petite enfance et professions assimilées;
4;52C1;Aides-soignants;
4;52C2;Assistants de professions médicales et paramédicales;
4;52C3;Auxiliaires de puériculture;
4;52C4;Agents spécialisés de crèche et des écoles maternelles;
4;52C5;Aides médico-psychologiques et professions assimilées;
4;52C6;Ambulanciers;
2;5300;Policiers, militaires, pompiers, agents de sécurité privée;Policiers, militaires et agents de sécurité privée
3;53A0;Agents de police et de surveillance pénitentiaire;
4;53A1;Personnels d’encadrement et d’application de la Police nationale;
4;53A2;Agents des polices municipales;
4;53A3;Personnels d’encadrement et d’application de l’administration pénitentiaire;
3;53B0;Sous-officiers subalternes et militaires du rang des Armées et de la Gendarmerie;
4;53B1;Gendarmes;
4;53B2;Sous-officiers subalternes des Armées;
4;53B3;Militaires du rang;
3;53C0;Agents de sécurité civile;
4;53C1;Pompiers;
3;53D0;Agents de sécurité et surveillance privées;
4;53D1;Agents de sécurité et surveillance privées;
2;5400;Employés administratifs d'entreprise;Employés administratifs d'entreprise
3;54A0;Employés de l’accueil, du secrétariat et de la comptabilité;
4;54A1;Hôtes d'accueil et standardistes;
4;54A2;Secrétaires, employés de la bureautique;
4;54A3;Employés des services comptables et financiers;
3;54B0;Employés de la banque, des assurances et des organismes de sécurité sociale;
4;54B1;Employés commerciaux de la banque et des assurances;
4;54B2;Employés techniques de la banque, des assurances et des organismes de sécurité sociale;
3;54C0;Employés du transport et du tourisme;
4;54C1;Contrôleurs et agents d'accompagnement des transports et du tourisme;
4;54C2;Employés des services commerciaux des transports de voyageurs et du tourisme;
4;54C3;Employés administratifs d'exploitation des transports de marchandises et de la logistique;
3;54D0;Autres employés administratifs d'entreprise;
4;54D1;Employés administratifs des services commerciaux;
4;54D2;Employés des autres services administratifs;
2;5500;Employés de commerce;Employés de commerce
3;55A0;Vendeurs en produits alimentaires;
4;55A1;Vendeurs en produits alimentaires;
3;55B0;Vendeurs en produits non alimentaires;
4;55B1;Vendeurs de biens pour le foyer;
4;55B2;Vendeurs en produits de beauté, culturels et de loisirs;
4;55B3;Vendeurs en habillement et articles de sport;
4;55B4;Autres vendeurs spécialisés (carburant, tabac, presse);
3;55C0;Vendeurs non spécialisés;
4;55C1;Vendeurs non spécialisés;
3;55D0;Caissiers, employés de libre-service;
4;55D1;Caissiers du commerce;
4;55D2;Employés de libre-service du commerce;
3;55E0;Télévendeurs, téléconseillers;
4;55E1;Télévendeurs, téléconseillers;
2;5600;Personnels des services directs aux particuliers;Personnels des services aux particuliers
3;56A0;Employés de cafés, restaurants et hôtels;
4;56A1;Serveurs;
4;56A2;Employés polyvalents de la restauration, aides de cuisine;
4;56A3;Employés d'accueil et de réception de l'hôtellerie;
4;56A4;Employés d'étage, employés polyvalents de l'hôtellerie;
3;56B0;Employés des soins corporels;
4;56B1;Coiffeurs;
4;56B2;Esthéticiens et autres employés des soins corporels;
3;56C0;Assistants maternels, gardes d'enfants, assistants familiaux;
4;56C1;Assistants familiaux, familles d'accueil;
4;56C2;Assistants maternels agréés;
4;56C3;Autres salariés de particuliers pour la garde d’enfants;
3;56D0;Aides au maintien à domicile des personnes fragiles;
4;56D1;Auxiliaires de vie sociale;
4;56D2;Autres employés d’aide à domicile et accueillants familiaux;
3;56E0;Aides domestiques, concierges;
4;56E1;Employés de maison et personnels de ménage chez des particuliers;
4;56E2;Concierges et gardiens d'immeuble d'habitation;
3;56F0;Autres employés des services aux particuliers;
4;56F1;Autres employés des services aux particuliers;
1;6000;Ouvriers;Ouvriers
2;6200;Ouvriers qualifiés de type industriel;Ouvriers qualifiés de type industriel
3;62A0;Ouvriers qualifiés des travaux publics et des industries extractives;
4;62A1;Conducteurs d’engins de chantier des travaux publics;
4;62A2;Autres ouvriers qualifiés des travaux publics et des industries extractives;
3;62B0;Ouvriers qualifiés de l’électricité, de l’électronique, de la mécanique et du travail des métaux;
4;62B1;Câbleurs en électricité et électronique;
4;62B2;Mécaniciens monteurs, ajusteurs qualifiés;
4;62B3;Ouvriers qualifiés d’usinage des métaux;
4;62B4;Ouvriers qualifiés du traçage, découpage, formage et soudage des métaux;
3;62C0;Ouvriers qualifiés de l’agroalimentaire, de la métallurgie, de la chimie, de la production des matériaux, de l’eau et de l’énergie;
4;62C1;Ouvriers qualifiés de l’agroalimentaire;
4;62C2;Ouvriers qualifiés de la métallurgie, de la production verrière et des matériaux de construction;
4;62C3;Ouvriers qualifiés de la chimie, de la plasturgie et des matériaux composites;
4;62C4;Ouvriers qualifiés de l’eau, de l’énergie et du traitement des déchets;
3;62D0;Ouvriers qualifiés du travail des matériaux souples et des autres industries;
4;62D1;Ouvriers qualifiés du textile, de l’habillement et du cuir;
4;62D2;Ouvriers qualifiés du bois et de la fabrication de papier-carton;
4;62D3;Ouvriers qualifiés de la composition, de l’impression et du façonnage du papier-carton;
3;62E0;Ouvriers qualifiés des fonctions transverses de l’industrie;
4;62E1;Conducteurs qualifiés de lignes de production;
4;62E2;Régleurs qualifiés d’équipements de fabrication;
4;62E3;Ouvriers qualifiés des traitements thermiques et de surface;
4;62E4;Ouvriers qualifiés de contrôle et d’essais et de laboratoire (hors santé, hors imprimerie);
4;62E5;Ouvriers qualifiés de maintenance et d’entretien des équipements industriels;
2;6300;Ouvriers qualifiés de type artisanal;Ouvriers qualifiés de type artisanal
3;63A0;Ouvriers des parcs et jardins;
4;63A1;Ouvriers des parcs et jardins;
3;63B0;Ouvriers qualifiés du bâtiment;
4;63B1;Maçons et ouvriers qualifiés du travail de la pierre;
4;63B2;Charpentiers et couvreurs qualifiés;
4;63B3;Menuisiers qualifiés du bâtiment;
4;63B4;Plombiers, chauffagistes qualifiés;
4;63B5;Électriciens qualifiés du bâtiment;
4;63B6;Peintres et ouvriers qualifiés de la finition du bâtiment;
4;63B7;Ouvriers qualifiés d'entretien général des bâtiments;
3;63C0;Ouvriers qualifiés de la réparation et du travail artisanal des matériaux;
4;63C1;Carrossiers qualifiés d’automobiles;
4;63C2;Réparateurs qualifiés de véhicules et de biens d’équipement du foyer;
4;63C3;Métalliers, ébénistes et autres ouvriers qualifiés du travail des métaux et du bois;
4;63C4;Couturiers et ouvriers qualifiés des autres fabrications;
3;63D0;Ouvriers qualifiés de l’artisanat alimentaire;
4;63D1;Bouchers, charcutiers;
4;63D2;Boulangers, pâtissiers;
3;63E0;Ouvriers qualifiés de la restauration;
4;63E1;Cuisiniers et ouvriers qualifiés de la restauration;
3;63F0;Ouvriers qualifiés de l’art et des spectacles;
4;63F1;Ouvriers d’arts, ouvriers et techniciens des spectacles;
2;6400;Conducteurs de véhicules de transport, chauffeurs-livreurs, coursiers;Conducteurs du transport
3;64A0;Conducteurs de véhicules de transport de personnes;
4;64A1;Conducteurs routiers de transport en commun;
4;64A2;Conducteurs salariés de taxi et d'autres véhicules de transport individuel;
3;64B0;Conducteurs de véhicules de transport de marchandises, livreurs;
4;64B1;Conducteurs de poids lourds;
4;64B2;Chauffeurs-livreurs, conducteurs de la collecte de déchets;
4;64B3;Coursiers, livreurs, distributeurs à domicile;
2;6500;Conducteurs d’engins, caristes, magasiniers et ouvriers du transport (non routier);Conducteurs d’engins et magasiniers
3;65A0;Dockers et conducteurs d’engins lourds de manœuvre et de levage;
4;65A1;Dockers et conducteurs d’engins lourds de manœuvre et de levage;
3;65B0;Caristes;
4;65B1;Caristes;
3;65C0;Magasiniers et ouvriers assimilés de la logistique;
4;65C1;Magasiniers et ouvriers assimilés de la logistique;
3;65D0;Ouvriers qualifiés du transport non routier;
4;65D1;Conducteurs de trains, matelots de la marine marchande;
4;65D2;Ouvriers qualifiés sédentaires d'exploitation des transports;
2;6700;Ouvriers peu qualifiés de type industriel;Ouvriers peu qualifiés de type industriel
3;67A0;Ouvriers peu qualifiés des travaux publics et des industries extractives;
4;67A1;Ouvriers peu qualifiés des travaux publics et des industries extractives;
3;67B0;Ouvriers peu qualifiés de l'électricité, de l'électronique, de la mécanique et du travail des métaux;
4;67B1;Ouvriers peu qualifiés de l'électricité et de l'électronique;
4;67B2;Ouvriers peu qualifiés de montage et contrôle en mécanique;
4;67B3;Ouvriers peu qualifiés du travail des métaux;
3;67C0;Ouvriers peu qualifiés de l’agroalimentaire, de la métallurgie, de la chimie et de la production des matériaux;
4;67C1;Ouvriers peu qualifiés de l’agroalimentaire;
4;67C2;Ouvriers peu qualifiés de la métallurgie, de la production verrière et des matériaux de construction;
4;67C3;Ouvriers peu qualifiés de la chimie, de la plasturgie et des matériaux composites;
3;67D0;Ouvriers peu qualifiés du travail des matériaux souples et des autres industries;
4;67D1;Ouvriers peu qualifiés du textile, de l’habillement et du cuir;
4;67D2;Ouvriers peu qualifiés du bois, de la fabrication de papier-carton et de l’impression;
3;67E0;Ouvriers peu qualifiés du transport et de la logistique;
4;67E1;Ouvriers peu qualifiés de la réception et de l'expédition;
4;67E2;Manutentionnaires peu qualifiés et professions assimilées;
4;67E3;Agents peu qualifiés des services d'exploitation des transports;
2;6800;Ouvriers peu qualifiés de type artisanal;Ouvriers peu qualifiés de type artisanal
3;68A0;Ouvriers peu qualifiés du bâtiment;
4;68A1;Ouvriers peu qualifiés du gros œuvre du bâtiment;
4;68A2;Ouvriers peu qualifiés du second œuvre du bâtiment;
3;68B0;Ouvriers peu qualifiés de la réparation de véhicules et du travail artisanal des matériaux;
4;68B1;Ouvriers peu qualifiés de l’entretien et de la réparation de véhicules;
4;68B2;Ouvriers peu qualifiés du travail artisanal des matériaux;
3;68C0;Apprentis de l’artisanat alimentaire;
4;68C1;Apprentis de l’artisanat alimentaire;
3;68D0;Ouvriers peu qualifiés du nettoyage, de l’assainissement et du traitement des déchets;
4;68D1;Ouvriers du nettoyage;
4;68D2;Ouvriers peu qualifiés de l’assainissement et du traitement des déchets;
2;6900;Ouvriers agricoles, des travaux forestiers, de la pêche et de l’aquaculture;Ouvriers agricoles
3;69A0;Ouvriers agricoles;
4;69A1;Ouvriers agricoles de grandes cultures et de polyculture-élevage;
4;69A2;Ouvriers du maraîchage, de l’horticulture et des pépinières;
4;69A3;Ouvriers de la viticulture et de l’arboriculture fruitière;
4;69A4;Ouvriers de l’élevage;
3;69B0;Ouvriers forestiers;
4;69B1;Ouvriers forestiers;
3;69C0;Ouvriers de la pêche et de l’aquaculture;
4;69C1;Ouvriers de la pêche et de l’aquaculture;
